debido,causa
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S068
TRAUMATISMO CRANEOENCEFALICO GRAVE POR PAF,S069
TRAUMATISMO CRANEO ENCEFALICO POR PAF,S069
TRAUMATISMO CRANEOENCEFALICO POR PAF,S069
TRAUMATISMO CRÁNEO ENCEFÁLICO POR PAF,S069
TRAUMATISMO CRANEO ENCEFALICO ABIERTO DEBIDO A PAF,S069
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,S069
TRAUMATISMO ENCEFALO CRANEANO ABIERTO POR PAF,S069
TEC ABIERTO X PAF,S069
TRAUMATISMO CRANEO ENCEFALICO PAF,S069
TC. GRAVE POR PAF,S069
TRAUMATISMO CRÁNEO ENCEFÁLICO ABIERTO POR PAF,S069
TRAUMATISMO CRENEO ENCEFALICO ABIERTO POR PAF,S069
TRAUMATISMO INTRACRANEAL POR PAF,S069
TRAUMATISMO CRANEO-ENCEFALICO SEVERO POR PAF,S069
TRAUMATISMO ENCEFALOCRANEANO POR PAF,S069
TEC SEVERO POR PAF,S069
TEC GRAVE POR PAF,S069
TRAUMATISMO ABIERTO POR PAF,S069
TEC GRAVE PAF,S069
TRAUMATISMO TORAXICO ABIERTO POR PAF,S071
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S071
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,S071
TRUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S071
TRAUMATISMO Y LACERACION ENCEFALICA MULTIPLE POR PAF,S097
TRAUMATISMO ENCEFALOCRANEANO GRAVE POR PAF,S098
TRAUMATISMO ENCEFALOCRANEANO POR PAF,S098
TRAUMATISMO ENCEFALO CRANEANO SEVERO POR PAF,S098
HERIDA PENETRANTE EN CABEZA Y TÓRAX POR PAF,S098
TRAUMATISMO CRANEO ENCEFALICO SEVERO POR PAF,S098
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S098
TRAUMATISMO CRÁNEO ENCEFÁLICO SEVERO POR PAF,S098
TRAUMATISMO ENCEFALO CRANEANO POR PAF,S098
TRAUMATISMO CRANEO ENCEFALICO GRAVE POR PAF,S098
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S099
TRAUMATISMO CRANEOENCEFALICO POR PAF,S099
DEGUELLO HOMICIDA.,S110
HERIDA PERFORANTE EN CUELLO POR PAF,S118
LESION PERFORANTE EN CUELLO POR PAF,S118
TRAUMATISMO EN CUELLO POR PAF,S119
TRAUMATISMO VERTEBRO MEDULAR CERVICAL POR PAF,S122
TRAUMATISMO ABIERTO EN CUELLO POR PAF,S198
TRAUMATISMO CERVICAL ABIERTO POR PAF,S199
TRAUMATISMO TORÁCICO CERRADO POR PAF,S202
TRAUMATISMO TORAXICO ABIERTO POR PAF,S207
TRAUMATISMOS TORAXICO ABIERTO POR PAF,S207
TRAUMATISMO TORACICO ABIERTO POR PAF,S207
TRAUMATISMO TORAXICO ABIERTO PO PAF,S207
TRAUMATISMO TORACCICO ABIERTO POR PAF,S207
TRAUMATISMO TORACICO ABIERTO POR PAF,S208
TRAUMATISMO TORAXICO ABIERTO POR PAF,S211
TRAUMA TORÁCICO ABIERTO POR PAF,S211
HERIDA PENETRANTE EN TÓRAX POR PAF,S211
HERIDA PERFORANTE EN TÓRAX POR PAF,S211
TRAUMATISMO TORACICO POR PAF,S217
HERIDAS ABIERTAS PENETRANTES Y PERFORANTES EN HEMITORAX POR PAF,S217
HERIDAS PERFORANTES POR PAF EN SEGMENTO CABEZA Y TORAX,S217
HERIDAS MÚLTIPLES TÓRACO-ABDOMINALES PERFORANTES Y PENETRANTES POR PROYECTIL DE ARMA DE FUEGO TIPO BALA.,S217
TRAUMATISMO TORÁXICO ABIERTO POR PAF,S217
TRAUMATISMO TORÁCICO ABIERTO POR PAF,S217
TRAUMATISMO TORÁCICO POR PAF,S217
TRAUMATISMO TORACICO ABIERTO POR PAF,S217
TRAUMATISMO TORAXICO ABIERTO - PAF,S219
TRAUMATISMO TORAXICO ABIERTO DEBIDO A PAF,S219
TRAUMATISMO MULTIPLE EN TORAX POR PAF,S219
TRAUMA TOROXICO CERRADO POR PAF,S244
TRAUMATISMO TORAXICO ABIERTO POR PAF,S250
LACERACIÓN DE AORTA TORÁXICA POR PAF,S250
TRAUMATISMO TORACICO ABIERTO POR PAF,S250
TRAUMATISMO TORACICO ABIERTO POR PAF,S253
RUPTURA DE VASOS POR PAF,S259
TRAUMATISMO POR PAF DE CORAZÓN,S260
TRAUMATISMO CARDÍACO POR PAF.,S268
LACERACION CARDIACA POR PAF,S268
LACERACION CARDIACA POR PAF,S269
HEMATOTORAX TRAUMÁTICO POR PAF,S271
HEMONEUMOPERITONEO POR PAF,S272
HEMOTORAX POR PAF,S273
TRAUMA TORÁCICO POR PAF,S273
LACERACIÓN PULMONAR POR PAF,S273
TRAUMATISMO TORAXICO POR PAF,S277
TRAUMATISMO TÓRACO ABDOMINAL MÚLTIPLE POR PAF.,S277
HERIDAS PERFORANTES Y PENETRANTES EN CABEZA Y TÓRAX POR PAF.,S278
TRAUMATISMO TORACOABDOMINAL POR PAF.,S278
TRAUMATISMOS MÚLTIPLES DE ÓRGANOS INTRATORACICOS POR PAF,S278
TRAUMATISMO TORAXICA ABIERTA POR PAF,S290
HERIDAS PENETRANTES TÓRAX POR PAF,S290
TRAUMATISMO TORAXICO ABIERTO POR PAF CON PENETRACION DE ORGANOS,S297
TRAUMATIMOS TORAXICO MULTIPLE POR PAF,S297
TRAUMA TORAXICO ABIERTO POR PAF.,S297
TRAUMATISMO TORACICO POR PAF,S297
TRAUMATISMO TORAXICO ABIERTO POR PAF,S297
TRAUMATISMO TORACICO ABIERTO POR PAF,S298
TRAUMATISMO TORAXICO ABIERTO POR PAF,S298
TRAUMATISMO TORACOABDOMINAL ABIERTO GRAVE POR PAF,S298
TRAUMA TORÁCICO ABIERTO POR PAF,S298
TRAUMATISMO TORACICO POR PAF,S298
TRAUMATISMO TORAXICO SEVERO POR PAF,S298
TRAUMATISMO TORAXICO POR PAF,S298
TRAUMATISMO TORÁXICO ABIERTO POR PAF,S298
TRAUMATISMO TÒRACO ABDOMINAL ABIERTO POR PAF,S299
TRAUMATISMO TORACICO ABIERTO POR PAF,S299
TRAUMATISMO TORACICO ABIERTO POR PAF.,S299
TRAUMATISMO TORACICO POR PAF,S299
TRAUMATISMO TORÁXICO ABIERTO POR PAF,S299
TRAUMATISMO TORÁXICO MÚLTIPLE ABIERTO POR PAF,S299
TRAUMA TORAXICO ABIERTO POR PAF,S299
TRAUMATISMO TORAXICO ABIERTO POR PAF,S299
TRAUMATISMO TORACICO ABIERTO X PAF,S299
TRAUMA TORACO ABDOMINAL POR PAF,S301
TRAUMATISMO ABDOMINAL ABIERTO POR PAF,S307
HERIDA EN REGIÓN LUMBAR DERECHA POR PAF,S310
HERIDA PENETRANTE ABDOMINAL CERRADO POR PAF,S311
HERIDA PERFORANTE EN REGIÓN ABDOMINAL POR PROYECTIL DE ARMA DE FUEGO TIPO BALA.,S311
TEC SEVERO POR PAF,S317
TEC SEVERA POR PAF,S317
HERIDA PERFORANTE EN REGION ABDOMINAL POR PAF.,S318
TRAUMATISMO TORACICO ABDOMINAL X PAF,S350
TRAUMA ABDOMINO PELVICO POR PAF,S350
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF,S350
TRAUMATISMO ABDOMINAL ABIERTO POR PAF,S350
TRAUMATISMO HEPATICO POR PAF,S361
TRAUMATISMO POR PAF DE MÚLTIPLES ÓRGANOS OBDOMINALES.,S367
TRAUMA ABDOMINAL PENETRANTE POR PAF,S367
TRAUMATISMO MULTIPLE DE VISCERAS INTRAABDOMINALES POR PAF,S367
TRAUMA ABDOMINAL POR PAF,S367
TRAUMA TORACOABDOMINAL ABIERTO POR PAF,S367
TRAUMATISMO ABDOMINAL ABIERTO POR PAF,S367
PO TRAUMA TORACOABDOMINAL ABIERTO POR PAF,S367
TRAUMA ABDOMINAL ABIERTO POR PAF,S367
TRAUMATISMO ABDOMINAL ABIERTA PAF,S367
TRAUMATISMO TORACPABDOMINAL POR PAF,S367
TRAUMA ABDOMINAL CERRADO P0R PAF,S368
TRAUMATISMO ABDOMINAL POR PAF,S369
TRAUMATISMO ABDOMINAL ABIERTO POR PAF DISPARADO,S369
TRAUMATISMO ABDOMINAL ABIERTO POR PROYECTIL DE ARMA DE FUEGO PAF,S369
HERIDAS MULTIPLES EN TORAX Y ABDOMEN POR PAF,S369
TRAUMATISMO MULTIPLE POR PAF,S377
TRAUMATISMO MULTIPLE X PAF,S377
TRAUMATISMO ENCEFALO CRANEANO POR PAF,S377
TRAUMATISMO ENCEFALO CRANEANO X PAF,S377
TRAUMATISMO MULTIPLE PAF,S377
TRAUMATISMO TORAXICO ABIERTO POR PAF,S377
TRAUMATISMO TORAXICO POR PAF,S377
TRAUMATISMO PELVICO PENETRANTE POR PAF,S379
TRAUMATISMO TORACO ABDOMINAL POR PAF,S396
TRAUMA ABDOMINAL ABIERTO POR PAF,S396
TRAUMA ABDOMINO PELVICO POR PAF,S399
TRAUMATISMO ABDOMINAL ABIERTO POR PAF,S399
TRAUMA ABDOMINAL PAF,S399
TRAUMATISMO PENETRANTE POR PAF ABDOMINO PELVICO,S399
HERIDA EN MUSLO X PAF,S711
TRAUMATISMO FEMORAL POR PAF,S750
TRAUMATISMO ABIERTO DE CRÁNEO POR HERIDA DE CURSO PERFORANTE PAF,SIN REGISTRO
TRAUMATISMO PERFORANTE POR PAF EN CUELLO,SIN REGISTRO
HERIDA PENETRANTE DEL TÓRAX POR PAF ENCAMISETADO,SIN REGISTRO
TRAUMATISMO PERFORANTE POR PAF EN CABEZA Y CUELLO,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF 01 PENETRANTE,SIN REGISTRO
LACERACIÓN - CONTUSIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO PENETRANTE EN TÓRAX POR PAF,SIN REGISTRO
TRAUMATISMO PENETRANTE POR PAF EN TÓRAX,SIN REGISTRO
6 HERIDAS PERFORANTES Y 1 PENETRANTE POR PAF EN CABEZA. 2 HERIDAS PERFORANTES POR PAF EN TORAX Y 1 HERIDA PERFORANTE POR PAF EN ABDOMEN,SIN REGISTRO
HERIDAS PENETRANTES DE CABEZA Y CEFALOABDOMINAL POR PAF HERIDA PERFORANTE DE CABEZA POR P.A.F. HERIDA DE TORAX POR P.A.F.,SIN REGISTRO
HERIDAS VARIAS POR BALA EN ABDOMEN,SIN REGISTRO
TRAUMATISMO CRANEO TORACO ABDOMINAL SEVERO POR HERIDAS PERFORANTES DE PAF,SIN REGISTRO
TRAUMATISMO TORÁCICO - ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDA CONTUSA POR PAF EN CRÁNEO 01 PENETRANTE HERIDA CONTUSA POR PAF EN TÓRAX 01 PERFORANTE,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO CORPORAL MULTIPLE POR PAF,SIN REGISTRO
HERIDAS PERFORANTES MULTIPLES POR BALAS,SIN REGISTRO
TRAUMATISMO CORPORAL MULTIPLE POR PAF 02 PENETRANTES,SIN REGISTRO
TRAUMATISMO CORPORAL MULTIPLE POR PAF TRES PENETRANTES,SIN REGISTRO
HERIDA PENETRANTE POR PAF ABDOMINO PELVIANA,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN ABDOMINAL (01) X PAF,SIN REGISTRO
HERIDA PERFORANTE DE CUELLO POR PAF,SIN REGISTRO
TRAUMATISMO DE CABEZA PERFORANTE POR PAF,SIN REGISTRO
HERIDA PERFORANTE DEL TÓRAX POR PAF,SIN REGISTRO
LACERACIÓN ENCEFÁLICA Y HEPÁTICA. HERIDA PENETRANTE CÉFALO CERVICAL. HERIDA PERFORANTE ABDOMINAL POR PAF ENCAMISETADO,SIN REGISTRO
HEMOTORAX POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE ABDOMEN POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO Y TORACICO PERFORANTE POR PAF,SIN REGISTRO
HERIDA PERFORANTE TORACOABDOMINAL POR PAF,SIN REGISTRO
HEMOTORAX IZQUIERDO POR PAF,SIN REGISTRO
LACERACIÓN CONTUSIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIONES PULMONARES Y CARDÍACAS. TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO TORACO - ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
LACERACION CONTUSION ENCEFALICA POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO PENETRANTE POR PAF,SIN REGISTRO
LACERACIÓN VASCULAR Y ENCEFÁLICA POR HERIDA DE CURSO PENETRANTE SIENDO EL AGENTE CAUSANTE PAF ENCAMISETADO.,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF,SIN REGISTRO
SHOCK HIPOVOLÉMICO HEMORRÁGICO. LACERACIÓN PULMONAR. HERIDA PENETRANTE EN TÓRAX DERECHO. PAF .38,SIN REGISTRO
TRAUMATISMO ABIERTO DEL TÓRAX. HERIDA DE CURSO PERFORANTE. PAF,SIN REGISTRO
TRAUMATISMO MÚLTIPLE POR PAF -LACERACION DE GRANDES VASOS- SHOCK HIPOVOLEMICO,SIN REGISTRO
TRAUMATISMO MULTIPLE POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF - LESIÓN ARTERIA FEMORAL POR PAF - SHOCK HIPOVOLEMICO,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN ABDOMEN,SIN REGISTRO
TRAUMATISMO DE CABEZA Y TORAX PERFORANTE POR PAF,SIN REGISTRO
LACERACION CARDÍACA PULMONAR Y HEPÁTICA POR PAF,SIN REGISTRO
TRAUMATISMO DE CABEZA Y TÓRAX SEVERO POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA 01 X PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO CRÁNEO ENCEFÁLICO POR PAF - SHOCK HIPOVOLÉMICO,SIN REGISTRO
LACERACIÓN - CONTUSIÓN ENCEFALICA POR PAF,SIN REGISTRO
HEMOTÓRAX MASIVO. LACERACIÓN Y TAPONAMIENTO CARDÍACOS. TRAUMATISMO TORÁCICO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE CEFÁLICA POR BALA,SIN REGISTRO
HERIDA PENETRANTE DE TORAX POR PAF,SIN REGISTRO
HEMORRAGIA ABDOMINAL MASIVA. LACERACIONES DE HÍGADO Y ARTERIA ILÍACA DERECHA. TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
HERIDAS PERFORO - CONTUSAS POR PAF EN CABEZA - CUELLO - TÓRAX - ABDOMEN - EXTREMIDAD SUPERIOR IZQUIERDA,SIN REGISTRO
HERIDA PERFORANTE CEFÁLICA POR BALA,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO POR PAF,SIN REGISTRO
LACERACIONES CEREBRALES MULTIPLES. FRACTURA DE BASE DE CRANEO. TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF.,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX POR PAF,SIN REGISTRO
HEMORRAGIA TORACICA MASIVA. LACERACIÓN DE AORTA TORÁCICA. TRAUMATISMO TORÁCICO ABIERTO PENETRANTE POR PAF.,SIN REGISTRO
LACERACIONES CEREBRALES MÚLTIPLES. FRACTURA DE BASE Y BÓVEDA CRANEAL. TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
LACERACIONES CEREBRALES MÚLTIPLES. FRACTURA DE BASE Y BÓVEDA CRANEAL. TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,SIN REGISTRO
LACERACION CARDIO PULMONAR POR PAF,SIN REGISTRO
LACERACIONES CEREBRALES Y CEREBOLAS MÚLTIPLES. FRACTURA DE BASE Y BÓVEDA CRANEAL. TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA POR PAF,SIN REGISTRO
LACERACIÓN VISCERAL HEPÁTICA GÁSTRICA RENAL E INTESTINAL. HERIDAS DE CURSO PERFORANTES Y PENETRANTES. PAF ENCAMISETADO.,SIN REGISTRO
TRAUMATISMO TORACICO ABIERTO POR PAF,SIN REGISTRO
HEMOPERICARDIO MASIVO. LACERACIONES CARDÍACAS MÚLTIPLES. TRAUMATISMOS MÚLTIPLES ABIERTOS POR PAF.,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO ABIERTO POR PAF,SIN REGISTRO
HEMOPERICARDIO. LACERACION CARDIACA. TRAUMATISMOS MULTIPLES ABIERTOS POR PAF,SIN REGISTRO
HERIDAS PERFORO CONTUSAS DE CURSO PERFORANTE EN REGIÓN CERVICAL 01 - TORÁCICA 02 - ABDOMINAL 01- CURSO PENETRANTE EN MIEMBRO SUPERIOR DERECHO 01 POR PAF,SIN REGISTRO
HEMORRAGIA ABDOMINAL MASIVA. LACERACION DE AORTA ABDOMINAL. TRAUMATISMO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
LACERACIÓN ENCEFALICA POR PAF,SIN REGISTRO
TRAUMATISMO CERRADO POR PAF - SHOCK HIPOVOLEMICO,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF - SHOCK HIPOVOLÉMICO,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO ABIERTO POR PAF 01 PERFORANTE,SIN REGISTRO
TRECE HERIDAS PERFORANTES EN REGION CRANEAL CERVICAL TORACOABDOMINAL PELVICA Y MIEMBRO SUPERIOR DERECHO POR PAF,SIN REGISTRO
3 HERIDAS PERFORANTES POR PAF EN CABEZA - 1 HERIDA PERFORANTE Y 1 PENETRANTE EN TORAX POR PAF,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLES POR PAF,SIN REGISTRO
HERIDAS PERFORANTES CERVICOFACIALES POR BALA,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF - 01 PERFORANTE,SIN REGISTRO
TRAUMA ABDOMINAL ABIERTO-TRAUMA RENAL-TRAUMA HEPATICO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO CERVICOMEDULAR POR PAF,SIN REGISTRO
1 HERIDA PERFORANTE POR PAF EN CABEZA- 1 HERIDA POR PAF PENETRANTE EN CABEZA - 1 HERIDA PENETRANTE POR PAF CRANEO-CERVICAL- 5 HERIDAS PERFORANTES POR PAF EN CARA Y 1 HERIDA PENETRANTE POR PAF EN MIEMBRO SUPERIOR DERECHO,SIN REGISTRO
LACERACION - CONTUSIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE CEFÁLICO CERVICAL POR BALA,SIN REGISTRO
LACERACIÓN DE AORTA ABDOMINAL. HERIDA PENETRANTE ABDOMINAL HERIDA PENETRANTE DEL MUSLO IZQUIERDO. HERIDA PERFORANTE DEL MUSLO DERECHO POR PAF ENCAMISETADO.,SIN REGISTRO
HEMORRAGIA TORÁCICA MASIVA. LACERACIÓN CARDÍACA Y DE AORTA TORÁCICA. TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
03 HERIDAS PENETRANTES POR PAF EN CABEZA - 02 HERIDAS PENETRANTES POR PAF TORACOABDOMINAL,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CABEZA - 2 HERIDAS PENETRANTES POR PAF EN TORAX,SIN REGISTRO
LACERACIONES CEREBRALES MÚLTIPLES. FRACTURA DE BASE Y BÓVEDA CRANEAL. TRAUMATISMOS MÚLTIPLES CRANEO ENCEFÁLICOS ABIERTOS POR PAF.,SIN REGISTRO
HERIDA CONTUSA POR PAF MAXILO FACIAL - CERVICAL.,SIN REGISTRO
LACERACION VERTEBRO-MEDULAR COMPLETA NIVEL C2-C3. FRACTURA DE BASE DE CRÁNEO. TRAUMATISMOS CRÁNEO CERVICALES ABIERTOS POR PAF.,SIN REGISTRO
LACERACIONES CEREBRALES. FRACTURA DE BÓVEDA CRANEAL. TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF,SIN REGISTRO
LACERACIÓN DE AORTA CORAZÓN Y PULMÓN. TRAUMATISMO ABIERTO DEL TÓRAX. HERIDA DE CURSO PERFORANTE. PAF,SIN REGISTRO
LACERACIÓN VASCULAR Y ENCEFÁLICA. TRAUMATISMO ABIERTO DE CRÁNEO. HERIDA DE CURSO PERFORANTE. PAF,SIN REGISTRO
LACERACIÓN - CONTUSION DE PULMONES - PERICARDIO - CORAZON POR PAF,SIN REGISTRO
HERIDA DE CURSO PERFORANTE EN REGIÓN FACIOCRANEAL POR PAF,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN TÓRAX ABDOMEN Y PELVIS - 2 PENETRANTES,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN TÓRAX Y ABDOMEN -4 PENETRANTES-,SIN REGISTRO
HEMORRAGIA INTRACRANEAL MASIVA. LACERACIONES CEREBRALES. TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN REGIONES CEFÁLICA Y TORÁCICA 1 PENETRANTE,SIN REGISTRO
HEMORRAGIA INTRATORÁCICA MASIVA. LACERACIONES CARDÍACAS. TRAUMATISMOS ABIERTOS POR PAF PERFORANTES.,SIN REGISTRO
HEMORRAGIA ABDOMINAL MASIVA. LACERACIONES HEPÁTICA Y RENAL. TRAUMATISMOS MÚLTIPLES POR PAF.,SIN REGISTRO
TRAUMATISMOS MÚLTIPLES POR PAF. 06 HERIDAS PERFORANTES. 01 HERIDA PENETRANTE.,SIN REGISTRO
PROBABLE TRAUMATISMO ENCÉFALO CRANEANO GRAVE CON FRACTURA DE BASE Y BÓVEDA CRANEAL POR PAF.,SIN REGISTRO
HERIDA PENETRANTE Y PERFORANTE DE CABEZA Y TORAX DEBIDO A PAF,SIN REGISTRO
HERIDA ABDOMINAL PENETRANTE POR BALA,SIN REGISTRO
TRES HERIDAS DE CURSO PENETRANTE Y TRES HERIDAS DE CURSO PERFORANTE EN REGION CEFALO CERVICO TORAXICO POR PAF,SIN REGISTRO
1 HERIDA PENETRANTE POR PAF CABEZA - CUELLO 2 HERIDAS PERFORANTES POR PAF Y 2 PENETRANTES POR PAF EN TÓRAX - ABDOMEN,SIN REGISTRO
HEMORRAGIA Y LACERACION ENCEFALICA POR PROYECTIL DE ARMA DE FUEGO - PAF.,SIN REGISTRO
HERIDAS MÚLTIPLES TÓRACOABDOMINALES POR BALA 7 PENETRANTES,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO SEVERO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO - CERVICAL ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN TORACO-ABDOMINAL 01 X PAF Y HERIDA PERFORANTE EN MUSLO IZQUIERDO 01 X PAF,SIN REGISTRO
TRAUMATISMO ABIERTO EN SEGMENTOS DE CABEZA Y CUELLO POR PAF - HERIDA PERFORANTE 01-,SIN REGISTRO
TRAUMATISMO ABIERTO EN CABEZA POR PAF - 02 HERIDAS PERFORANTES,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO - LACERACIÓN AÓRTICA POR PAF,SIN REGISTRO
HERIDAS CONTUSAS POR PAF EN CUELLO - TÓRAX - EXTREMIDADES SUPERIORES,SIN REGISTRO
HERIDAS PERFORO CONTUSAS DE CURSO PENETRANTE EN CABEZA 01- TÓRAX 01- ABDOMEN 01. POR PAF,SIN REGISTRO
HERIDAS CEFÁLICAS MÚLTIPLES POR BALA 2 PENETRANTES,SIN REGISTRO
TRAUMATISMO ABIERTO PERFORANTE POR PAF EN CABEZA,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR BALA EN ABDOMEN Y TORAX,SIN REGISTRO
HERIDA PERFORANTE DE TORAX POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE CUELLO Y CARA POR PAF,SIN REGISTRO
DOS HERIDAS PENETRANTES POR PAF EN CABEZA 2 HERIDAS PERFORANTES POR PAF EN TORAX 2 HERIDAS PERFORANTES POR PAF EN ABDOMEN,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF,SIN REGISTRO
